path,block,run,test,iso_label,width,height,mean,p95,p99,saturation_pct,dark_pct,sharpness,bright_points,centroids,quality_score,solve_ok,solve_ra,solve_dec,solve_fov,solve_roll,solve_matches,solve_time_ms,solve_mode,solve_error
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230553\pifinder_camera_sweep_20260503_230553_iso3200_001.jpg,1,pifinder_camera_sweep_20260503_230553,camera_sweep,iso3200,4080,3060,13.605762962962963,17.0,19.0,0.0,0.0,16.645844055639213,324,11,109.16458440556391,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230553\pifinder_camera_sweep_20260503_230553_iso3200_002.jpg,1,pifinder_camera_sweep_20260503_230553,camera_sweep,iso3200,4080,3060,13.36451851851852,16.0,19.0,0.0,0.0,16.137997434634965,245,11,109.1137997434635,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230553\pifinder_camera_sweep_20260503_230553_iso3200_003.jpg,1,pifinder_camera_sweep_20260503_230553,camera_sweep,iso3200,4080,3060,13.320577777777778,16.0,18.0,0.0,0.0,16.236061065322698,226,10,106.62360610653226,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230553\pifinder_camera_sweep_20260503_230553_iso3200_004.jpg,1,pifinder_camera_sweep_20260503_230553,camera_sweep,iso3200,4080,3060,13.14958024691358,16.0,18.0,0.0,0.0001646090534979424,16.366484277396737,407,10,106.63664842773967,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230553\pifinder_camera_sweep_20260503_230553_iso3200_005.jpg,1,pifinder_camera_sweep_20260503_230553,camera_sweep,iso3200,4080,3060,13.20270781893004,16.0,18.0,0.0,0.0,16.412385663320972,451,8,101.64123856633209,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230553\pifinder_camera_sweep_20260503_230553_iso3200_006.jpg,1,pifinder_camera_sweep_20260503_230553,camera_sweep,iso3200,4080,3060,13.178877366255143,16.0,18.0,0.0,0.0,16.122009552159053,360,15,119.11220095521591,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230555\pifinder_camera_sweep_20260503_230555_iso3200_001.jpg,1,pifinder_camera_sweep_20260503_230555,camera_sweep,iso3200,4080,3060,13.401446913580246,34.0,70.0,0.015637860082304528,0.0,25.60833620512862,0,48,122.48264432010134,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230555\pifinder_camera_sweep_20260503_230555_iso3200_002.jpg,1,pifinder_camera_sweep_20260503_230555,camera_sweep,iso3200,4080,3060,54.79358683127572,183.0,230.0,0.48345679012345677,0.0,136.9673787180247,0,51,138.7794539211852,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230555\pifinder_camera_sweep_20260503_230555_iso3200_003.jpg,1,pifinder_camera_sweep_20260503_230555,camera_sweep,iso3200,4080,3060,67.77761152263375,190.0,234.0,0.5902880658436214,0.0,90.29553703572017,0,38,101.07811337435392,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230555\pifinder_camera_sweep_20260503_230555_iso3200_004.jpg,1,pifinder_camera_sweep_20260503_230555,camera_sweep,iso3200,4080,3060,84.78038847736626,192.0,241.0,0.6330864197530864,0.0,111.87392619651882,0,60,158.02196052088647,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230555\pifinder_camera_sweep_20260503_230555_iso3200_005.jpg,1,pifinder_camera_sweep_20260503_230555,camera_sweep,iso3200,4080,3060,88.48316543209877,191.0,228.0,0.2154732510288066,0.0,123.5880784255083,0,66,161.2814415874068,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230555\pifinder_camera_sweep_20260503_230555_iso3200_006.jpg,1,pifinder_camera_sweep_20260503_230555,camera_sweep,iso3200,4080,3060,86.7008098765432,192.0,234.0,0.23259259259259257,0.0,283.75416124078373,0,80,177.21245316111543,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230603\pifinder_camera_sweep_20260503_230603_iso3200_001.jpg,1,pifinder_camera_sweep_20260503_230603,camera_sweep,iso3200,4080,3060,13.409776131687243,17.0,19.0,0.0,0.0,16.59280621956951,283,23,139.15928062195695,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230603\pifinder_camera_sweep_20260503_230603_iso3200_002.jpg,1,pifinder_camera_sweep_20260503_230603,camera_sweep,iso3200,4080,3060,13.237318518518519,16.0,18.0,0.0,0.0,16.87766812046673,217,27,149.18776681204668,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230603\pifinder_camera_sweep_20260503_230603_iso3200_003.jpg,1,pifinder_camera_sweep_20260503_230603,camera_sweep,iso3200,4080,3060,13.391060082304527,17.0,19.0,0.0,0.0,16.8698066977351,279,31,159.1869806697735,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230603\pifinder_camera_sweep_20260503_230603_iso3200_004.jpg,1,pifinder_camera_sweep_20260503_230603,camera_sweep,iso3200,4080,3060,13.283894650205761,16.0,19.0,0.0,0.0,16.712943264068823,261,32,161.6712943264069,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230603\pifinder_camera_sweep_20260503_230603_iso3200_005.jpg,1,pifinder_camera_sweep_20260503_230603,camera_sweep,iso3200,4080,3060,13.30401975308642,16.0,19.0,0.0,0.0,16.352624997243648,228,23,139.13526249972438,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230603\pifinder_camera_sweep_20260503_230603_iso3200_006.jpg,1,pifinder_camera_sweep_20260503_230603,camera_sweep,iso3200,4080,3060,13.268558024691359,16.0,18.0,0.0,0.0,16.976581210327694,182,28,151.69765812103276,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230605\pifinder_camera_sweep_20260503_230605_iso3200_001.jpg,1,pifinder_camera_sweep_20260503_230605,camera_sweep,iso3200,4080,3060,11.106133333333334,23.0,42.0,0.0,0.0,35.33470168574845,2,80,155.53347016857484,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230605\pifinder_camera_sweep_20260503_230605_iso3200_002.jpg,1,pifinder_camera_sweep_20260503_230605,camera_sweep,iso3200,4080,3060,11.25162633744856,23.0,42.0,0.0,0.0,35.292570922755,2,80,155.5292570922755,False,,,,,,,,
G:\Mi unidad\01. Personal\12. AI Projects\PiFinder_movile_sensors\Test cam\1\pifinder_camera_sweep_20260503_230605\pifinder_camera_sweep_20260503_230605_iso3200_003.jpg,1,pifinder_camera_sweep_20260503_230605,camera_sweep,iso3200,4080,3060,11.543172016460906,23.0,43.0,0.0,0.0,31.013358632555335,1,80,154.10133586325554,False,,,,,,,,
